date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-03-21,5986.0,47021.0,625,4032,,,777.6972935717392,66.6867035512059,
2020-03-22,6557.0,53578.0,795,4827,,,886.1458836474478,79.83549554604932,
2020-03-23,5560.0,59138.0,649,5476,,,978.1047308063527,90.5695408349215,
2020-03-24,4789.0,63927.0,601,6077,,,1057.3117306344095,100.50969679580314,
2020-03-25,5249.0,69176.0,743,6820,,,1144.1268365223757,112.7984420186568,
2020-03-26,5210.0,74386.0,685,7505,,,1230.2969073313495,124.12790430352189,
2020-03-27,6153.0,80539.0,660,8165,,,1332.0635955631378,135.0438825633919,
2020-03-28,5959.0,86498.0,971,9136,,,1430.6216477609642,151.10360209420065,
2020-03-29,5974.0,92472.0,887,10023,,,1529.4277903737875,165.77401530102597,
2020-03-30,5217.0,97689.0,758,10781,,,1615.71363670976,178.31085093887668,
2020-03-31,4050.0,101739.0,810,11591,,,1682.6980487589624,191.70773334871714,
2020-04-01,4053.0,105792.0,839,12430,,,1749.7320788911643,205.58425722755192,
2020-04-02,4782.0,110574.0,727,13157,,,1828.8233031922223,217.6083726744087,
2020-04-03,4668.0,115242.0,760,13917,,,1906.029040339303,230.17828703425903,
2020-04-04,4585.0,119827.0,764,14681,,,1981.8620105234,242.81435883810857,
2020-04-05,4805.0,124632.0,681,15362,,,2061.3336401274537,254.07766367897443,
2020-04-06,4316.0,128948.0,527,15889,,,2132.7175222026035,262.79390692587066,
2020-04-07,3599.0,132547.0,636,16525,,,2192.242682440895,273.3129405217454,
2020-04-08,3039.0,135586.0,604,17129,,,2242.5058005192964,283.30271456562645,
2020-04-09,3836.0,139422.0,540,17669,,,2305.9507893145405,292.23396950552007,
2020-04-10,4204.0,143626.0,612,18281,,,2375.482262957713,302.35605843739955,
2020-04-11,3951.0,147577.0,570,18851,,,2440.8292782679346,311.7834942072873,
2020-04-12,4694.0,152271.0,619,19470,,,2518.46503880101,322.0213586661654,
2020-04-13,4092.0,156363.0,431,19901,,,2586.144104012204,329.14982325708047,
2020-04-14,3153.0,159516.0,564,20465,,,2638.2927092445834,338.4780228609694,
2020-04-15,2972.0,162488.0,604,21069,,,2687.447690135998,348.46779690485045,
2020-04-16,2667.0,165155.0,578,21647,,,2731.5581659224727,358.02754756273663,
2020-04-17,3786.0,168941.0,525,22172,,,2794.176186667727,366.7107120876332,
2020-04-18,3493.0,172434.0,575,22747,,,2851.948174640039,376.22084466251994,
2020-04-19,3491.0,175925.0,480,23227,,,2909.6870838903515,384.1597379424254,
2020-04-20,3047.0,178972.0,433,23660,7841.0,943151.0,2960.082516856751,391.3212812553401,15599.114866325246
2020-04-21,2256.0,181228.0,454,24114,28095.0,971246.0,2997.395315272307,398.83015114925075,16063.788213614713
2020-04-22,2729.0,183957.0,534,24648,44248.0,1015494.0,3042.5312314407697,407.66216992314554,16795.621859133997
2020-04-23,3370.0,187327.0,437,25085,37083.0,1052577.0,3098.2688780101057,414.8898706800595,17408.950983089693
